#GENE	DISEASE	TYPE	ID	INH
ISG15	Immunodeficiency 38	disease	616126 	AR
AGRN	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	disease	615120 	AR
TNFRSF4	Immunodeficiency 16	provisional	615593 	AR
B3GALT6	Ehlers-Danlos syndrome, spondylodysplastic type, 2	disease	615349 	AR
B3GALT6	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	disease	271640 	AR
B3GALT6	Al-Gazali syndrome	disease	609465 	AR
DVL1	Robinow syndrome, autosomal dominant 2	disease	616331 	AD
VWA1	Neuropathy, hereditary motor, with myopathic features	disease	619216 	AR
ATAD3A	Harel-Yoon syndrome	disease	617183 	AR;AD
ATAD3A	Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal	disease	618810 	AR
TMEM240	Spinocerebellar ataxia 21	disease	607454 	AD
GNB1	Myelodysplastic syndrome, somatic	disease	614286 	
GNB1	Leukemia, acute lymphoblastic, somatic	disease	613065 	
GNB1	Intellectual developmental disorder, autosomal dominant 42	disease	616973 	AD
GABRD	Epilepsy, idiopathic generalized, 10	susceptibility	613060 	AD
GABRD	Epilepsy, juvenile myoclonic, susceptibility to	susceptibility	613060 	AD
GABRD	Generalized epilepsy with febrile seizures plus, type 5, susceptibility to	susceptibility	613060 	AD
SKI	Shprintzen-Goldberg syndrome	disease	182212 	AD
PEX10	Peroxisome biogenesis disorder 6A (Zellweger)	disease	614870 	AR
PEX10	Peroxisome biogenesis disorder 6B	disease	614871 	AR
PANK4	Cataract 49	provisional	619593 	AD
PRDM16	Left ventricular noncompaction 8	disease	615373 	AD
PRDM16	Cardiomyopathy, dilated, 1LL	disease	615373 	AD
TP73	Ciliary dyskinesia, primary, 47, and lissencephaly	disease	619466 	AR
SMIM1	Blood group, Vel system	non-disease	615264 	AR
CEP104	Joubert syndrome 25	disease	616781 	AR
NPHP4	Senior-Loken syndrome 4	disease	606996 	AR
NPHP4	Nephronophthisis 4	disease	606966 	AR
ESPN	Deafness, neurosensory, without vestibular involvement, autosomal dominant	disease	609006 	AR
ESPN	Deafness, autosomal recessive 36	disease	609006 	AR
ESPN	Usher syndrome, type 1M	provisional	618632 	AR
PLEKHG5	Spinal muscular atrophy, distal, autosomal recessive, 4	disease	611067 	AR
PLEKHG5	Charcot-Marie-Tooth disease, recessive intermediate C	disease	615376 	AR
CAMTA1	Cerebellar ataxia, nonprogressive, with mental retardation	disease	614756 	AD
PER3	Advanced sleep phase syndrome, familial, 3	provisional	616882 	AD
PARK7	Parkinson disease 7, autosomal recessive early-onset	disease	606324 	AR
SLC45A1	Intellectual developmental disorder with neuropsychiatric features	disease	617532 	AR
RERE	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	disease	616975 	AD
H6PD	Cortisone reductase deficiency 1	disease	604931 	AR
PIK3CD	Immunodeficiency 14A, autosomal dominant	disease	615513 	AD
PIK3CD	Immunodeficiency 14B, autosomal recessive	disease	619281 	AR
PIK3CD	Roifman-Chitayat syndrome, digenic	provisional	613328 	DR
NMNAT1	Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis	disease	619260 	AR
NMNAT1	Leber congenital amaurosis 9	disease	608553 	AR
KIF1B	Pheochromocytoma	disease	171300 	AD
KIF1B	Neuroblastoma, susceptibility to, 1	susceptibility	256700 	SMU;AD
KIF1B	Charcot-Marie-Tooth disease, type 2A1	disease	118210 	AD
PEX14	Peroxisome biogenesis disorder 13A (Zellweger)	disease	614887 	AR
TARDBP	Frontotemporal lobar degeneration, TARDBP-related	disease	612069 	AD
TARDBP	Amyotrophic lateral sclerosis 10, with or without FTD	disease	612069 	AD
MASP2	MASP2 deficiency	disease	613791 	AR
MTOR	Focal cortical dysplasia, type II, somatic	disease	607341 	
MTOR	Smith-Kingsmore syndrome	disease	616638 	AD
UBIAD1	Corneal dystrophy, Schnyder type	disease	121800 	AD
MAD2L2	Fanconi anemia, complementation group V	provisional	617243 	AR
MTHFR	Vascular disease	susceptibility	susceptibility to} 	
MTHFR	Homocystinuria due to MTHFR deficiency	disease	236250 	AR
MTHFR	Thromboembolism, susceptibility to	susceptibility	188050 	AD
MTHFR	Schizophrenia, susceptibility to	susceptibility	181500 	AD
MTHFR	Neural tube defects, susceptibility to	susceptibility	601634 	AR
CLCN6	Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities	disease	619173 	AD
NPPA	Atrial standstill 2	disease	615745 	AR
NPPA	Atrial fibrillation, familial, 6	disease	612201 	AD
PLOD1	Ehlers-Danlos syndrome, kyphoscoliotic type, 1	disease	225400 	AR
MFN2	Charcot-Marie-Tooth disease, axonal, type 2A2A	disease	609260 	AD
MFN2	Charcot-Marie-Tooth disease, axonal, type 2A2B	disease	617087 	AR
MFN2	Hereditary motor and sensory neuropathy VIA	disease	601152 	AD
VPS13D	Spinocerebellar ataxia, autosomal recessive 4	disease	607317 	AR
